integration_area,candidate_platform,official_pricing_url,pricing_checked_on,free_tier,student_education_benefit,startup_credit,estimated_cost_dev,estimated_cost_beta,estimated_cost_prod,benefits,drawbacks,complexity,best_fit_for_repo,recommendation_reason
Database Hosting,Supabase Postgres,https://supabase.com/pricing,2026-03-06,"Free: 500MB DB; 1GB storage; 2 projects; 50MB file uploads","GitHub Student Pack: 1 year Pro free","N/A",₹0/month (Student Pack Pro),₹0/month (Student Pack),₹2100/month ($25 Pro),Postgres + Auth + Storage + Edge Functions in one; Row Level Security; real-time subscriptions; dashboard is excellent,Prisma + Supabase requires connection pooling (PgBouncer); free tier pauses after 1 week inactivity; opinionated,Medium,YES,"Student Pack Pro covers entire beta; if team wants to replace custom auth + S3 storage later, Supabase is a single-platform path"
Database Hosting,Railway Postgres,https://railway.app/pricing,2026-03-06,"Included in Railway Hobby plan $5/month credit","N/A","Included with Railway Hobby",₹0/month (included in Railway credit),₹300-500/month (usage-based),₹2000-3500/month (production),Zero-config when using Railway for backend; same billing; no separate service; 1-click provision,Usage-based billing can surprise; no branching; less DX than Neon for DB-only usage,Low,YES,"Best choice if using Railway for backend — single platform, single bill, zero extra config. Prisma works natively."
Database Hosting,Render Postgres,https://render.com/pricing,2026-03-06,"Free: 90-day trial then expires (NOT permanently free)","GitHub Student Pack: $10 credit","N/A",₹588/month ($7 Starter after free trial),₹588/month ($7 Starter),₹1596/month ($19 Standard),Managed; automated backups on paid tier; works with Render backend,Free tier expires after 90 days (no permanent free); data deleted on expiry; limited to 1GB on Starter; read replicas are expensive,Low,MAYBE,"Only consider if hosting backend on Render; free tier expiry is a student trap — always set a reminder; Neon/Supabase are better DB choices"
Database Hosting,PlanetScale,https://planetscale.com/pricing,2026-03-06,"Free: 5GB storage; 1 billion row reads/month","N/A","N/A",₹0/month,N/A — MySQL not Postgres,N/A — MySQL not Postgres,Branching like Git; great DX; free tier generous,MySQL dialect — incompatible with existing Prisma Postgres schema; would require rewriting all migrations,High,NO,"Schema is PostgreSQL-specific (Prisma). Migrating to MySQL requires rewriting all migrations and potentially query logic. Not viable."
Object Storage,AWS S3,https://aws.amazon.com/s3/pricing/,2026-03-06,"Free: 5GB storage; 20K GET; 2K PUT requests for 12 months","GitHub Student Pack: no direct S3 credit","AWS Activate for Startups (separate application)",₹0/month (12-month free tier),₹168-840/month ($2-10; storage + requests),₹1680-8400/month ($20-100 at scale),Industry standard; multer-s3 integration ready; lifecycle policies; versioning; 11-nines durability; Mumbai (ap-south-1) region,Egress fees from India are expensive; complex IAM; 12-month free tier expires; no free permanent tier; costly at scale,Medium,YES,"multer-s3 is the de facto Node.js upload library; Mumbai region (ap-south-1) provides low latency for Indian users; start with free tier"
Object Storage,Cloudflare R2,https://developers.cloudflare.com/r2/pricing/,2026-03-06,"Free: 10GB storage/month; 1M Class A ops (PUT/POST); 10M Class B ops (GET); no egress fees","N/A","N/A",₹0/month,₹0-672/month ($0-8; depends on storage),₹1344-5040/month ($16-60 at scale),Zero egress fees (massive saving for India); S3-compatible API; multer-s3 works; no cold starts; workers integration,No CDN URL by default (need R2 public bucket or custom domain); slightly less ecosystem tooling than S3,Low,YES,"Zero egress fees are best for India where data transfer costs are high; S3-compatible API means near-zero code change from S3; strongly recommended over S3 for cost"
Object Storage,Supabase Storage,https://supabase.com/pricing,2026-03-06,"Free: 1GB storage; 50MB max file size; included in Supabase free tier","GitHub Student Pack: 1 year Pro free","N/A",₹0/month (Student Pack),₹0/month (Student Pack),₹1764/month ($21 Pro),Integrated with Supabase Auth (RLS on storage); CDN included; image transformations,1GB free is tight; max 50MB file on free; tightly coupled to Supabase ecosystem,Low,MAYBE,"Only compelling if already using Supabase for DB+Auth. Otherwise R2 or S3 are better standalone choices."
Object Storage,Backblaze B2,https://www.backblaze.com/b2/cloud-storage-pricing.html,2026-03-06,"Free: 10GB storage forever; 1GB download/day free","N/A","N/A",₹0/month,₹420-840/month ($5-10),₹1680-5040/month ($20-60),$0.006/GB storage (75% cheaper than S3); S3-compatible API; Cloudflare partnership eliminates egress when used with Cloudflare CDN,No Indian region (nearest is US/EU); S3-compatible but some edge cases; smaller ecosystem,Low,YES,"10GB free forever + Cloudflare CDN partnership (zero egress with Cloudflare) = best budget storage. Works with multer-s3."
Email Service,Resend,https://resend.com/pricing,2026-03-06,"Free: 3K emails/month; 1 domain","N/A (not in GitHub Student Pack)","N/A",₹0/month,₹0/month (3K/month free covers beta),₹1680/month ($20 Pro; 50K emails),Modern API; React Email templates; best DX of any email service; already referenced in code TODOs; TypeScript SDK,Not in GitHub Student Pack; 3K/month free is limited for scale; newer service with less track record than SendGrid,Low,YES,"Already referenced in codebase TODOs (grep confirms); React Email + Resend is the modern Node.js email stack; 3K/month free covers all beta sends"
Email Service,Postmark,https://postmarkapp.com/pricing,2026-03-06,"Free: 100 emails/month (test only)","N/A","N/A",₹0/month,₹1260/month ($15; 10K messages),₹2520/month ($30; 25K messages),Best deliverability rates in industry; transactional focus; detailed bounce analytics; message streams,100 emails/month free is minimal; no Student Pack; more expensive than SendGrid/Resend at volume,Low,YES,"Best deliverability for OTP-style transactional emails (therapy booking confirmations, password resets). Worth the cost for critical emails."
Email Service,SendGrid,https://sendgrid.com/pricing/,2026-03-06,"Free: 100 emails/day forever (3K/month)","GitHub Student Pack: 1 year free Essentials (15K/month)","N/A",₹0/month (Student Pack),₹0/month (Student Pack; up to 15K/month),₹1680/month ($19.95; 50K/month),Generous free tier; Student Pack Essentials covers 15K/month; battle-tested; detailed analytics; Node.js SDK,Twilio acquisition caused product neglect; UI is dated; abuse (email spoofing) means deliverability can vary,Low,YES,"GitHub Student Pack free Essentials (15K emails/month) covers entire beta with no cost. Fall back to Resend for DX."
Email Service,Amazon SES,https://aws.amazon.com/ses/pricing/,2026-03-06,"Free: 62K emails/month if sent from EC2/Lambda; otherwise $0.10/1K","N/A","AWS Activate (separate)",₹0-₹84/month ($0-$1; very cheap),₹84-420/month ($1-5 at beta volume),₹840-4200/month ($10-50 at scale),Cheapest at scale ($0.10/1K); battle-tested; DKIM/SPF built-in,Complex sandbox setup requires domain verification + production access request; no good UI; need to implement bounce/complaint handling manually,High,MAYBE,"Cheapest option at production scale but significant setup overhead. Not recommended for students; use Resend/SendGrid first and migrate to SES when cost matters."
Email Service,Brevo,https://www.brevo.com/pricing/,2026-03-06,"Free: 300 emails/day (9K/month); unlimited contacts","N/A","N/A",₹0/month,₹0/month (9K/month free covers beta),₹2100/month (€25 Starter; 20K/month),Marketing + transactional in one; SMS also available; good free tier; GDPR compliant (EU-based),EU-centric (data stored in EU; latency concerns); no GitHub Student Pack; less DX focus than Resend,Low,MAYBE,"9K emails/month free is generous for beta. Good if you also need SMS marketing. Otherwise Resend/SendGrid are better developer choices."
Payment Gateway,Razorpay,https://razorpay.com/pricing/,2026-03-06,"Free: test dashboard; no monthly fee; pay per transaction only","N/A","N/A",₹0/month (test mode),₹0 + 2% per transaction,₹0 + 2% per transaction,Best India UPI/cards/netbanking support; instant settlements; already wired in codebase; INR-native; Razorpay Route for therapist payouts; dashboard excellent,2% transaction fee; international cards 3%; need GST invoice,Low,YES,"Already in codebase; best India payment coverage (UPI/PhonePe/GPay/cards/netbanking); Razorpay Route enables therapist commission splits. No alternative needed."
Payment Gateway,Stripe,https://stripe.com/en-in/pricing,2026-03-06,"Free: test mode; no monthly fee","N/A","Stripe Atlas for startups (separate)",₹0/month (test mode),₹0 + 2.9%+$0.30 per transaction,₹0 + 2.9%+$0.30 per transaction,International payments; excellent DX; Stripe Connect for marketplace; TypeScript types already in codebase,No UPI support; 2.9%+$0.30 per transaction is high in India; requires USD settlement for India pricing,Low,YES,"Use for international clients (NRIs, foreign therapists); already has TypeScript types in codebase. Run Stripe + Razorpay in parallel: Razorpay for India, Stripe for international."
Payment Gateway,Cashfree,https://www.cashfree.com/payment-gateway-charges/,2026-03-06,"Free: test sandbox; no monthly fee","N/A","N/A",₹0/month (test mode),₹0 + 1.75% per transaction,₹0 + 1.75% per transaction,Lower fees than Razorpay (1.75% vs 2%); UPI/cards/netbanking; good payouts API; Indian company; NBFC licensed,Less developer mindshare than Razorpay; smaller SDK ecosystem; fewer integrations,Low,MAYBE,"0.25% lower fee than Razorpay becomes significant at scale (saves ₹2,500 on every ₹10L of GMV). Consider as Razorpay replacement at growth stage."
Payment Gateway,PayU,https://payu.in/pricing,2026-03-06,"Free: test mode; no monthly fee","N/A","N/A",₹0/month (test mode),₹0 + 1.99% per transaction,₹0 + 1.99% per transaction,Popular in India; LazyPay BNPL integration; EMI options; good for enterprise,Older API design; less modern DX than Razorpay; onboarding takes longer,Medium,MAYBE,"More complex onboarding and older API makes it less suitable for student dev team. Use Razorpay first; consider PayU only if specific BNPL/EMI features are needed."
Video/WebRTC,Daily.co,https://www.daily.co/pricing,2026-03-06,"Free: 10K participant-minutes/month; HD video; screen share; recording API","N/A","N/A",₹0/month,₹2520/month (~$30; 100 sessions × 30min × 2 participants − free 10K mins),₹8400-25200/month ($100-300),Already in codebase (API key commented); React hooks (@daily-co/daily-react); excellent REST API; Mumbai TURN servers; HIPAA-compliant plan available,10K free minutes consumed by ~83 sessions/month; $0.00099/min after that; HIPAA plan costs extra,Low,YES,"Already in codebase; HIPAA-ready tier matters for therapy; React SDK is well-maintained. Activate existing API key to go live."
Video/WebRTC,100ms,https://www.100ms.live/pricing,2026-03-06,"Free: 10K minutes/month; recording; chat; screen share","N/A","N/A",₹0/month,₹1680-3360/month (~$20-40; 100 sessions post-free-tier),₹8400-16800/month ($100-200),Better React SDK than Daily.co; lower latency India PoPs; live streaming support; whiteboard built-in,10K min/month free is same as Daily.co; slightly more complex setup than Daily.co; newer company,Low,YES,"Better React SDK DX and lower latency from India PoPs (Mumbai/Chennai). Viable migration from Daily.co with minimal code change. Consider as primary for new projects."
Video/WebRTC,Agora,https://www.agora.io/en/pricing/,2026-03-06,"Free: 10K minutes/month; video + audio","N/A","Agora for Startups program (apply separately)",₹0/month,₹2520-5040/month ($30-60),₹8400-25200/month ($100-300),Largest WebRTC provider; extremely low latency; India PoPs; ML-based noise cancellation,Complex pricing matrix (video/audio/recording separate); SDK is C++ wrapper (less idiomatic); documentation harder to navigate; compliance docs complex,High,MAYBE,"Industry leader for latency but complexity overhead not worth it for student team. Use Daily.co or 100ms which are purpose-built for therapy/education use cases."
Video/WebRTC,Twilio Video,https://www.twilio.com/en-us/video/pricing,2026-03-06,"No meaningful free tier (extremely limited test room)","N/A","N/A",₹672/month ($8 minimum),₹3360-6720/month ($40-80; 100 sessions),₹16800-33600/month ($200-400),Twilio brand trust; HIPAA BAA available; Twilio ecosystem (SMS/email combined),Most expensive option ($0.004/participant-minute vs $0.001 for competitors); no free tier; being deprecated in favor of Twilio Live,Low,NO,"4× more expensive than Daily.co/100ms with no compensating advantages. Being deprecated. Do not use."
Video/WebRTC,LiveKit,https://livekit.io/pricing,2026-03-06,"Self-host: FREE (open source); Cloud: 50K minutes/month free","N/A","N/A",₹0/month (self-host or cloud free tier),₹0-840/month ($0-10 cloud; free tier generous),₹2520-8400/month ($30-100 cloud; or ~₹1000/month self-hosted on Hetzner),Open source and self-hostable; cloud option; WebRTC + SFU; React SDK; growing ecosystem,Self-hosting requires managing SFU server; cloud is newer with less track record; HIPAA compliance unclear,Medium,MAYBE,"Best option if the team wants no vendor lock-in. Self-host on Hetzner (₹1000/month) for full control. Good migration path from Daily.co."
AI/LLM,OpenAI GPT-4o,https://openai.com/api/pricing/,2026-03-06,"Free: $5 API credit for new accounts","N/A","N/A",₹0-420/month ($0-5; free credit),₹1512/month (~$18; 100 conversations × 20 msgs × 200 tokens),₹12600/month (~$150; 2000 conv/month),Best quality reasoning; already in codebase; largest ecosystem; function calling; vision; DALL-E 3 access; fine-tuning,Most expensive frontier model; $2.50/1M input tokens; privacy concerns for sensitive therapy data; requires HIPAA BAA (Enterprise tier),Low,YES,"Already referenced in codebase for AI journaling/therapy; use GPT-4o for complex therapy support tasks only. Pair with GPT-4o-mini for moderation/classification."
AI/LLM,OpenAI GPT-4o-mini,https://openai.com/api/pricing/,2026-03-06,"Free: $5 API credit for new accounts (shared with GPT-4o)","N/A","N/A",₹0/month,₹126-504/month (~$1.50-6; high volume),₹1260-5040/month ($15-60),93% cheaper than GPT-4o; good enough for moderation/classification/summaries; fast; already in codebase,Less capable for complex reasoning; not suitable for primary therapy AI,Low,YES,"Use GPT-4o-mini for: content moderation, mood classification, journal summaries, slot suggestions. Reserve GPT-4o for therapy session AI. Massive cost saving."
AI/LLM,Anthropic Claude 3.5 Haiku,https://www.anthropic.com/pricing,2026-03-06,"No free tier (API credits only on first signup)","N/A","N/A",₹0-840/month ($0-10; signup credit),₹672/month (~$8; 100 conv × 20 msgs × 200 tokens),₹8400/month (~$100 at scale),Excellent reasoning; less likely to produce harmful content (better safety training); Constitutional AI; good for therapy context,No free tier; $0.80/1M input tokens; no Indian data residency; privacy compliance unclear for Indian healthcare,Low,MAYBE,"Better safety guardrails make Claude suitable for therapy AI where harmful outputs must be avoided. Use as fallback model or for sensitive therapy conversations."
AI/LLM,Google Gemini 1.5 Flash,https://ai.google.dev/pricing,2026-03-06,"Free: 15 requests/min; 1M tokens/min; 1500 requests/day","N/A","$300 Google Cloud credit for new accounts",₹0/month (free tier generous),₹0-504/month ($0-6; free tier + Google Cloud credit),₹2520/month ($30; 2000 conv/month),Extremely cheap ($0.075/1M input tokens); generous free tier; multimodal (text+image+audio); Google Cloud integration,Less established for conversational AI; model behavior less predictable than OpenAI/Claude; Google privacy terms for Indian data,Low,MAYBE,"Best cost-per-token if quality is acceptable. Use for non-critical features (horoscope generation, mood trend summaries) where premium model quality isn't required."
AI/LLM,Groq,https://groq.com/pricing/,2026-03-06,"Free: 14.4K tokens/min on Llama 3.1 70B; 30 req/min","N/A","N/A",₹0/month (free tier for dev),₹0-420/month ($0-5),₹840-3360/month ($10-40),Extremely fast inference (10× faster than OpenAI); Llama 3.1 70B open weights; very cheap; low latency,Rate limits on free tier; Llama models slightly lower quality than GPT-4o for complex reasoning; no vision model; dependent on Groq hardware availability,Low,MAYBE,"Best for real-time chat features where latency matters (astrology chat, live journaling suggestions). Groq + Llama 3.1 70B free tier can handle development entirely."
Analytics,PostHog,https://posthog.com/pricing,2026-03-06,"Free: 1M events/month; 5K session recordings; feature flags; 1 year data retention","GitHub Student Pack: $50 credit","PostHog for Startups: $50K credits (apply)",₹0/month,₹0/month (1M events is generous),₹0-2100/month ($0-25 at scale),Open source (self-hostable); product analytics + session recording + feature flags + A/B testing + heatmaps in one; GDPR-friendly (self-host); React SDK,Self-hosting requires DevOps; 1M free events sounds like a lot but can go fast with tracking everything; EU data residency default,Low,YES,"Best analytics for startups: open source + generous free tier + GitHub Student Pack credit. Session recording helps identify UX issues in therapy booking funnel. Privacy-sensitive (HIPAA): self-host or use EU cloud."
Analytics,Plausible,https://plausible.io/pricing,2026-03-06,"No free tier (14-day trial); $9/month for up to 10K monthly pageviews","N/A","N/A",₹756/month ($9; no free tier),₹756/month ($9),₹756-1512/month ($9-18),GDPR-compliant by design; no cookies; lightweight (< 1KB script vs GA4's 45KB); perfect for privacy-sensitive platforms; EU-hosted,No free tier; limited funnel/cohort analysis vs PostHog; pageview-based pricing gets expensive at scale,Low,YES,"Ideal for Soul Yatri's privacy-sensitive wellness data. GDPR/DPDPA compliance built-in. No cookie banner needed. Low script weight improves page speed scores."
Analytics,Mixpanel,https://mixpanel.com/pricing/,2026-03-06,"Free: 20M events/month; unlimited data history; cohort analysis","N/A","N/A",₹0/month,₹0/month (20M events is very generous),₹2352/month ($28 Growth) or free if < 20M events,Powerful funnel analysis; cohort retention; A/B experiments; 20M free events is huge,Complex to set up properly; data governance for DPDPA compliance unclear; can send data to US servers by default,Medium,MAYBE,"20M events/month free is the most generous free tier. Good for deep funnel analysis (therapy booking, subscription conversion). But setup complexity is higher than PostHog."
Analytics,Google Analytics 4,https://analytics.google.com/,2026-03-06,"Free forever; unlimited events","N/A","N/A",₹0/month,₹0/month,₹0/month,Free; most widely used; integration with Google Ads/Search Console; BigQuery export free,Sends data to Google (GDPR/DPDPA concern for mental health platform); complex event model; data sampling at scale; India data may be stored in US,Low,NO,"Mental health/therapy data must not be shared with Google. DPDPA 2023 (India's privacy law) and PDPB considerations make GA4 a compliance risk for Soul Yatri."
Analytics,Amplitude,https://amplitude.com/pricing,2026-03-06,"Free: 10M events/month; unlimited sources; 1 year retention","N/A","Amplitude for Startups (separate application)",₹0/month,₹0/month (10M events/month covers beta),₹0-plus/month (Enterprise pricing not public),Best-in-class behavioral cohort analysis; Amplitude Charts are excellent; strong product analytics,10M events/month free is generous; but Enterprise tier pricing is opaque; GDPR compliance needs configuration,Medium,MAYBE,"10M free events covers initial production. Better behavioral analytics than PostHog for understanding therapy booking funnels. Consider if PostHog free tier is exceeded."
Error Monitoring,Sentry,https://sentry.io/pricing/,2026-03-06,"Free: 5K errors/month; 10K performance units; 1 user","GitHub Student Pack: 500K Sentry errors ($26 value)","Sentry for Startups program",₹0/month (Student Pack),₹0/month (Student Pack; 500K errors),₹2184/month ($26 Team; 100K errors),Industry standard for error monitoring; source maps; performance tracing; session replay; React + Node.js SDKs; already the de facto standard,500K errors/month in Student Pack burns fast if misconfigured; can be noisy; source map upload requires CI setup,Low,YES,"Industry standard; GitHub Student Pack 500K errors covers entire beta and early production. React + Express SDKs require minimal setup. Must-have for any production app."
Error Monitoring,BetterStack,https://betterstack.com/pricing,2026-03-06,"Free: 1GB logs/month; 3-day log retention; 5 monitors; 10 alerts","N/A","N/A",₹0/month,₹0-2100/month ($0-25 Logs; $0 Uptime monitoring),₹2100-4200/month ($25-50),Logs + uptime monitoring + incident management in one; beautiful UI; Pino integration (if using Pino logger),Less powerful error tracking than Sentry; more of a log aggregation + uptime tool,Low,MAYBE,"Best complement to Sentry: BetterStack for uptime monitoring (free tier) + Sentry for error tracking. Use BetterStack's free uptime monitoring from day one."
Error Monitoring,LogRocket,https://logrocket.com/pricing,2026-03-06,"Free: 1K sessions/month; 1 month data retention","N/A","N/A",₹0/month,₹0-8316/month ($0-99 Pro),₹8316/month ($99 Pro),Session replay + error tracking + network request logging; see exactly what user did before an error; React DevTools integration,Very expensive Pro tier ($99/month); 1K sessions/month free is limited; privacy concern (records user sessions — sensitive for therapy platform),Medium,MAYBE,"Session replay is powerful for debugging UX issues in therapy booking flow. BUT recording sessions on a mental health platform raises serious privacy concerns. Proceed with caution and explicit user consent."
Error Monitoring,Rollbar,https://rollbar.com/pricing/,2026-03-06,"Free: 5K events/month; 30-day retention; 1 user","N/A","N/A",₹0/month,₹1008/month ($12 Essentials; 25K events),₹2016/month ($24 Advanced),Real-time error alerting; deploy tracking; fingerprinting; good Node.js SDK,Less powerful than Sentry; smaller community; UI is dated,Low,MAYBE,"Viable Sentry alternative at lower cost. 5K/month free is same as Sentry but without Student Pack benefit. Choose Sentry over Rollbar for Student Pack credit."
Error Monitoring,Axiom,https://axiom.co/pricing,2026-03-06,"Free: 0.5TB ingest/month; 30-day retention","N/A","N/A",₹0/month,₹0/month,₹2100/month ($25 Pro),Next-gen log analytics; APL query language; very fast; Vercel integration native,More of a log analytics tool than error monitoring; requires custom instrumentation; not a drop-in Sentry replacement,Medium,MAYBE,"Excellent complement to Sentry on Vercel deployments — Axiom has native Vercel log drain integration. Use Axiom for structured logging + Sentry for error tracking."
Auth/Identity,Custom JWT (current),N/A,2026-03-06,"Free: fully implemented","N/A","N/A",₹0/month,₹0/month,₹0/month,HS256 access (15min) + refresh (7d httpOnly cookie); custom role support; full control; no vendor dependency; already live and tested,Maintenance burden; no social login (Google/Apple) out of box; MFA not implemented; security audit needed,Low,STAY,"Well-implemented custom JWT is a strength, not a weakness. Access token in-memory + httpOnly refresh cookie follows security best practices. Keep custom auth; add social login via Passport.js if needed."
Auth/Identity,Clerk,https://clerk.com/pricing,2026-03-06,"Free: 10K MAU; unlimited orgs; MFA; social logins","GitHub Student Pack: access included","N/A",₹0/month (Student Pack),₹0/month (Student Pack; 10K MAU),₹2100/month ($25 Pro; 10K+ MAU),Prebuilt UI components; social login (Google/Apple); MFA; user management dashboard; React hooks,Would require major refactor of all auth routes; replaces existing JWT system; less control; MAU-based pricing expensive at scale,High,MAYBE,"Only consider Clerk if the team wants to completely remove auth boilerplate. Given custom JWT is well-implemented, migration cost exceeds benefit for current stage."
Auth/Identity,Supabase Auth,https://supabase.com/auth,2026-03-06,"Free: unlimited MAU; social providers; email OTP","GitHub Student Pack: 1 year Pro free","N/A",₹0/month,₹0/month,₹2100/month ($25 Pro for DB tier),Social login; Row Level Security integration; magic links; phone OTP; free with Supabase DB,Tightly coupled to Supabase ecosystem; migrating away from Supabase Auth is painful; less control than custom JWT,Medium,MAYBE,"Only adopt if moving entire DB to Supabase. Don't adopt Supabase Auth alone — too much coupling. Custom JWT + Supabase DB is a valid hybrid."
Auth/Identity,Auth0,https://auth0.com/pricing,2026-03-06,"Free: 7500 MAU; 2 social connections","N/A","N/A",₹0/month,₹1932/month ($23 Essential; beyond 7500 MAU),₹7980/month ($95 Professional),Industry standard; enterprise SSO; HIPAA BAA available; MFA; anomaly detection,7500 MAU free then expensive ($23+); overkill for current stage; heavy SDK; complex setup; vendor lock-in,High,NO,"7500 MAU cap is hit quickly; $23+/month for a student project replaces a working auth system. Custom JWT is better for this stage. Auth0 makes sense at enterprise scale."
Auth/Identity,Better Auth,https://www.better-auth.com/,2026-03-06,"Free: open source; self-hosted","N/A","N/A",₹0/month,₹0/month,₹0/month,TypeScript-native; Prisma adapter exists; social login plugins; MFA plugin; session management; growing ecosystem; no vendor lock-in,Relatively new (2024); smaller community than Auth0/Clerk; fewer tutorials; API may change,Medium,MAYBE,"Worth watching as a future migration path from custom JWT. Prisma adapter means near-zero schema change. If custom JWT becomes a maintenance burden, Better Auth is the modern open-source replacement."
